Titel;Englisch;Definition;Quelle;Gesamter Inhalt;Url
Langzeitstudien;(longitudinal studies);Studien, bei welchen dieselben Parameter in derselben Grundgesamtheit (aber nicht notwendigerweise bei denselben Probanden) wiederholt mit denselben Untersuchungsmethoden erfasst werden. ;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Studien, bei welchen dieselben Parameter in derselben Grundgesamtheit (aber nicht notwendigerweise bei denselben Probanden) wiederholt mit denselben Untersuchungsmethoden erfasst werden. 
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=245
Lebenserwartung;(life expectancy);Durchschnittliche Zahl der Jahre, die ein Individuum eines bestimmten Alters noch zu leben hat, falls die heutige Mortalitätstendenz weiterhin anhält. Eine statistische Abstraktion, die auf existierenden altersspezifischen Sterbeziffern beruht.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Durchschnittliche Zahl der Jahre, die ein Individuum eines bestimmten Alters noch zu leben hat, falls die heutige Mortalitätstendenz weiterhin anhält. Eine statistische Abstraktion, die auf existierenden altersspezifischen Sterbeziffern beruht.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=247
Leiter der klinischen Prüfung;(principal investigator);Wird eine Prüfung in einer Prüfstelle (einem Zentrum) von mehreren Prüfern vorgenommen, ist der verantwortliche Leiter der Gruppe der Hauptprüfer.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Wird eine Prüfung in einer Prüfstelle (einem Zentrum) von mehreren Prüfern vorgenommen, ist der verantwortliche Leiter der Gruppe der Hauptprüfer.
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=249
Leitkommission;(lead committee);Juristisch: Wird ein Forschungsprojekt nach einheitlichem Plan, aber in verschiedenen Kantonen durchgeführt (multizentrisches Forschungsprojekt), so ist eine Bewilligung derjenigen Ethikkommission erforderlich, die am Tätigkeitsort der das Projekt koordinierenden Person zuständig ist (Leitkommission).;Quelle: Art. 47 Abs. 2 HFG;"Juristisch:
Wird ein Forschungsprojekt nach einheitlichem Plan, aber in verschiedenen Kantonen durchgeführt (multizentrisches Forschungsprojekt), so ist eine Bewilligung derjenigen Ethikkommission erforderlich, die am Tätigkeitsort der das Projekt koordinierenden Person zuständig ist (Leitkommission).
Quelle: Art. 47 Abs. 2 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=250
Letalität;(lethality);Verhältnis der Todesfälle an einer Krankheit zur Zahl der Erkrankungsfälle an derselben Krankheit. Mass für die Gefährlichkeit einer Erkrankung.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Verhältnis der Todesfälle an einer Krankheit zur Zahl der Erkrankungsfälle an derselben Krankheit. Mass für die Gefährlichkeit einer Erkrankung.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=251
Melde- und Informationspflicht;(reporting and information requirements);"Juristisch: Der Bundesrat kann Melde- und Informationspflichten vorsehen, insbesondere bei:a. dem Abschluss oder Abbruch eines Forschungsprojekts;b. unerwünschten Ereignissen im Rahmen eines Forschungsprojekts;c. dem Auftreten von Umständen während der Durchführung eines Forschungsprojekts, die sich auf die Sicherheit oder die Gesundheit der teilnehmenden Personen auswirken können.Dabei beachtet er anerkannte internationale Regelungen.";Quelle: Art. 46 HFG;"Juristisch:
Der Bundesrat kann Melde- und Informationspflichten vorsehen, insbesondere bei:a. dem Abschluss oder Abbruch eines Forschungsprojekts;b. unerwünschten Ereignissen im Rahmen eines Forschungsprojekts;c. dem Auftreten von Umständen während der Durchführung eines Forschungsprojekts, die sich auf die Sicherheit oder die Gesundheit der teilnehmenden Personen auswirken können.Dabei beachtet er anerkannte internationale Regelungen.


Quelle: Art. 46 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=259
Meldesystem/Meldewesen;(reporting system);System der Erfassung meldepflichtiger (meist Infektions-) Krankheiten, heute zur Überwachung der Gesundheit auch durch freiwillige Meldung anderer Krankheiten ergänzt.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"System der Erfassung meldepflichtiger (meist Infektions-) Krankheiten, heute zur Überwachung der Gesundheit auch durch freiwillige Meldung anderer Krankheiten ergänzt.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=258
Menschenwürde;(human dignity);Juristisch: Die Würde des Menschen ist zu achten und zu schützen. (BV, 1999, Art.7).Der Grundsatz der Menschenwürde(Art. 7 BV) schützt und betont unter anderem den Eigenwert des menschlichen Körpers. Damit wird zum Ausdruck gebracht, dass der Körper eine Würde, nicht aber einen Preis hat.;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Die Würde des Menschen ist zu achten und zu schützen. (BV, 1999, Art.7).Der Grundsatz der Menschenwürde(Art. 7 BV) schützt und betont unter anderem den Eigenwert des menschlichen Körpers. Damit wird zum Ausdruck gebracht, dass der Körper eine Würde, nicht aber einen Preis hat.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=260
Meta-Analyse;(meta-analysis);Statistisches Verfahren zur Zusammenfassung von Resultaten aus verschiedenen vergleichbaren Studien (Primärsstudien) mit der gleichen Intervention.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz. ;"Statistisches Verfahren zur Zusammenfassung von Resultaten aus verschiedenen vergleichbaren Studien (Primärsstudien) mit der gleichen Intervention.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=261
Minimale Risiken und Belastungen;(Minimal risks and burdens);Juristisch: ;Quelle: ;"Juristisch:

Risiken und Belastungen, die sich unter Berücksichtigung der Verletzbarkeit der teilnehmenden Personen und der konkreten Umstände in ihrer Intensität und Qualität nur geringfügig und vorübergehend auf die Gesundheit der teilnehmenden Personen auswirken; mit minimalen Risiken und Belastungen können namentlich verbunden sein:

Befragungen und Beobachtungen,
periphere venöse oder kapillare Blutentnahmen sowie kleinflächige Stanzbiopsien der Haut,
die Entnahme oder Abgabe von Körpersubstanzen ohne invasive Massnahmen (insbesondere Speichel-, Urin- und Stuhlproben),
Abstriche,
Magnetresonanztomographien ohne Kontrastmittel, Ultraschalluntersuchungen oder Elektrogramme,
Untersuchungen mit Medizinprodukten mit Konformitätskennzeichen ohne Kontrastmittel beziehungsweise mit zugelassenen Arzneimitteln, welche ionisierende Strahlen aussenden können, sofern die effektive Dosis unter 5 mSv pro Forschungsprojekt und betroffener Person liegt

die Entnahme oder Abgabe von Körpersubstanzen ohne invasive Massnahmen (insbesondere Speichel-, Urin- und Stuhlproben),
Abstriche,
Magnetresonanztomographien ohne Kontrastmittel, Ultraschalluntersuchungen oder Elektrogramme,
Untersuchungen mit Medizinprodukten mit Konformitätskennzeichen ohne Kontrastmittel beziehungsweise mit zugelassenen Arzneimitteln, welche ionisierende Strahlen aussenden können, sofern die effektive Dosis unter 5 mSv pro Forschungsprojekt und betroffener Person liegt

Quelle: 
Art. 2 KlinV";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=526
Mitbestimmungsrecht;(right of participation);"Juristisch: Befugnis zur gleichberechtigten Mitwirkung und Beteiligung an Entscheidungen; jede Form der Mitbestimmung, sofern sie aufgrund eines Rechtsanspruchs ausgeübt werden kann.";Quelle: Wichert, Joachim (o.J.): Gabler Wirtschaftslexikon. Hg. v. Springer Gabler. Online verfügbar unter http://wirtschaftslexikon.gabler.de/Definition/mitbestimmungsrecht.html.;"Juristisch:
Befugnis zur gleichberechtigten Mitwirkung und Beteiligung an Entscheidungen; jede Form der Mitbestimmung, sofern sie aufgrund eines Rechtsanspruchs ausgeübt werden kann.
Quelle: Wichert, Joachim (o.J.): Gabler Wirtschaftslexikon. Hg. v. Springer Gabler. Online verfügbar unter http://wirtschaftslexikon.gabler.de/Definition/mitbestimmungsrecht.html.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=263
Mittelwert;(mean);Die Summe aller Einzelwerte dividiert durch die Anzahl der Einzelwerte.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Die Summe aller Einzelwerte dividiert durch die Anzahl der Einzelwerte.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=264
Monozenterstudie;(monocenter study);Studie, die in einem Zentrum durchgeführt wird.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Studie, die in einem Zentrum durchgeführt wird.
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=266
Morbidität;(morbidity);Mass für die Häufigkeit von Krankheiten pro Bevölkerungskollektiv ( z.B. pro 1000, 10'000, 100'000) ohne Unterscheidung zwischen Inzidenz und Prävalenz.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Mass für die Häufigkeit von Krankheiten pro Bevölkerungskollektiv ( z.B. pro 1000, 10'000, 100'000) ohne Unterscheidung zwischen Inzidenz und Prävalenz.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=267
Mortalität ;(mortality);In einer Bevölkerung gestorbene Personen, bezogen auf diese Bevölkerung. Ausgedrückt als rohe Sterbeziffer= Zahl der in einem Jahr gestorbenen Einwohner eines Gebietes dividiert durch die durchschnittliche Bevölkerung in demselben Gebiet und Jahr x 1'000.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"In einer Bevölkerung gestorbene Personen, bezogen auf diese Bevölkerung. Ausgedrückt als rohe Sterbeziffer= Zahl der in einem Jahr gestorbenen Einwohner eines Gebietes dividiert durch die durchschnittliche Bevölkerung in demselben Gebiet und Jahr x 1'000.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=268
Multizenter Studie;(multicenter study (multicenter trial));;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=269
Neuerkrankungsziffer;(number of new cases);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=270
Nichtdiskriminierung;(non-discrimination);Juristisch: Niemand darf im Rahmen der Forschung diskriminiert werden. Ohne triftige Gründe darf insbesondere bei der Auswahl der Personen für die Forschung keine Personengruppe übermässig in die Forschung einbezogen oder von der Forschung ausgeschlossen werden.;Quelle: Art. 6 HFG;"Juristisch:
Niemand darf im Rahmen der Forschung diskriminiert werden. Ohne triftige Gründe darf insbesondere bei der Auswahl der Personen für die Forschung keine Personengruppe übermässig in die Forschung einbezogen oder von der Forschung ausgeschlossen werden.
Quelle: Art. 6 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=273
Normalwerte;(standard (normal) values);Klinische Erfahrungswerte, die nicht als krankhaft gelten.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Klinische Erfahrungswerte, die nicht als krankhaft gelten.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=276
Parallellgruppenstudie ;(parallel group study);Eine randomisierte Studie mit einer Behnadlungs- und Kontrollgruppe, in der die behandelten Patienten dieselbe Behandlung während des ganzen Verlaufs der Studie erhalten. ;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Eine randomisierte Studie mit einer Behnadlungs- und Kontrollgruppe, in der die behandelten Patienten dieselbe Behandlung während des ganzen Verlaufs der Studie erhalten. 
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=293
Pathologie;(pathology);Lehre von den krankhaften und abnormen Veränderungen im menschlichen Körper.;Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.;"Lehre von den krankhaften und abnormen Veränderungen im menschlichen Körper.
Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=296
Pathophysiologie;(pathophysiology);Lehre von den Krankheitsvorgängen und Funktionsstörungen.;Quelle: Duden Online Wörterbuch (2014). Online verfügbar unter http://www.duden.de/rechtschreibung/Pathophysiologie, zuletzt geprüft am 17/03/2014.;"Lehre von den Krankheitsvorgängen und Funktionsstörungen.
Quelle: Duden Online Wörterbuch (2014). Online verfügbar unter http://www.duden.de/rechtschreibung/Pathophysiologie, zuletzt geprüft am 17/03/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=297
Patientenverfügung;(patient declaration);Schriftliche Erklärung einer Patientin/eines Patienten über Art und Umfang medizinischer Behandlungen für den Fall, dass die Patientin oder der Patient einwilligungsunfähig wird.;Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.;"Schriftliche Erklärung einer Patientin/eines Patienten über Art und Umfang medizinischer Behandlungen für den Fall, dass die Patientin oder der Patient einwilligungsunfähig wird.
Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=300
peer review;Beurteilung der Qualität wissenschaftlicher Leistung (insbesondere Publikationen) durch unabhängige Gutachter (Praktiker oder Spezialisten) derselben Fachrichtung. ;Beurteilung der Qualität wissenschaftlicher Leistung (insbesondere Publikationen) durch unabhängige Gutachter (Praktiker oder Spezialisten) derselben Fachrichtung. ;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=301
Personenbezogene Daten;(personally identifiable data);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=303
Pharmakodynamik;(pharmacodynamics);Beschreibung der Wirkungen, der Wirksamkeit und derToxizität eines Arzneimittels.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103.;"Beschreibung der Wirkungen, der Wirksamkeit und derToxizität eines Arzneimittels.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=304
Pharmakokinetik;(pharmacokinetics);Mathematsche Beschreibung, wie rasch und in welchem Ausmass nach der Verabreichung ein Arzneimittel im Blut und in den verschiedenen Körpergeweben auftritt und wo und in welcher Weise es wieder ausgeschieden wird.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103.;"Mathematsche Beschreibung, wie rasch und in welchem Ausmass nach der Verabreichung ein Arzneimittel im Blut und in den verschiedenen Körpergeweben auftritt und wo und in welcher Weise es wieder ausgeschieden wird.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz: 99-103.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=309
Pharmakoviglianz;(pharmacovigilance);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=311
Phase I-IV Studien;(phase I-IV studies);Juristisch: Bei Arzneimittelstudien werden verschiedene Phasen unterschieden, die ein neues Medikament im Rahmen eines Zulassungsprozesses durchlaufen muss.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz. ;"Bei Arzneimittelstudien werden verschiedene Phasen unterschieden, die ein neues Medikament im Rahmen eines Zulassungsprozesses durchlaufen muss.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz. 
Juristisch:
Klinische Versuche mit Heilmitteln werden in vier Phasen unterteilt: In Phase I wird die Verträglichkeit eines Wirkstoffs meist an einer kleinen Gruppe gesunder Personen geprüft. In Phase II werden die Wirksamkeit und der Dosierungsbereich des Wirkstoffs an 50–200 Personen getestet, die an der Krankheit leiden, gegen die der Wirkstoff entwickelt wurde. In Phase III wird die Sicherheit und Wirksamkeit des Wirkstoffs an einer grossen Patientengruppe (ca. 200–10,000 Personen) untersucht. Wenn Phase III erfolgreich beendet ist, kann die Marktzulassung beantragt werden. Phase IV-Studien finden nach der Markteinführung des Medikaments statt, um z.B. seltene Nebenwirkungen oder Wechselwirkungen mit anderen Substanzen zu erforschen.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=313
Physiologie;(physiology);Die Lehre von den physikalischen und biochemischen Vorgängen in den Zellen, Geweben und Organen aller Lebewesen.;Quelle: Wikipedia (2014). Online verfügbar unter http://de.wikipedia.org/wiki/Physiologie, zuletzt geprüft am 01/03/2014. ;"Die Lehre von den physikalischen und biochemischen Vorgängen in den Zellen, Geweben und Organen aller Lebewesen.
Quelle: Wikipedia (2014). Online verfügbar unter http://de.wikipedia.org/wiki/Physiologie, zuletzt geprüft am 01/03/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=314
Pilotstudie;(pilot study);Eine Studie mit einer kleinen Anzahl von Teilnehmern, die als Machbarkeitsstudie einer grösseren Studie vorausgeht.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Eine Studie mit einer kleinen Anzahl von Teilnehmern, die als Machbarkeitsstudie einer grösseren Studie vorausgeht.
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=315
Pivotalstudie;(pivotal study);Kontrollierte, reandomisierte, doppelblinde Sudie mit einer grossen Anzahl von Teilnehmern. Bei signifikanten Wirkungsnachweis Marktzulassung durch BfArM (Zulassungsbehörde,Swissmedic in der Schweiz).;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Kontrollierte, reandomisierte, doppelblinde Sudie mit einer grossen Anzahl von Teilnehmern. Bei signifikanten Wirkungsnachweis Marktzulassung durch BfArM (Zulassungsbehörde,Swissmedic in der Schweiz).
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=316
Placebostudie;(placebo study);Juristisch: Bei dieser Art der Studie erhält ein Teil der Studienteilnehmern (Kontrollgruppe) den Wirkstoff nicht. Damit kann der Effekt des Wirkstoffes im Vergleich mit den Teilnehmenden, die diesen erhalten haben, wissenschaftlich belegt werden. Die Teilnehmenden wissen dabei nicht, ob sie in der Kontrollgruppe sind. ;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Bei dieser Art der Studie erhält ein Teil der Studienteilnehmern (Kontrollgruppe) den Wirkstoff nicht. Damit kann der Effekt des Wirkstoffes im Vergleich mit den Teilnehmenden, die diesen erhalten haben, wissenschaftlich belegt werden. Die Teilnehmenden wissen dabei nicht, ob sie in der Kontrollgruppe sind. 
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=318
Prädiktion;(prediction);Mass für die Voraussage von Ereignissen, z.B. bei einem Screeningtest das Voraussagevermögen in Bezug auf die gesuchte Krankheit.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Mass für die Voraussage von Ereignissen, z.B. bei einem Screeningtest das Voraussagevermögen in Bezug auf die gesuchte Krankheit.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=321
Präklinische Studien;(preclinical studies);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=327
Prävalenz;(prevalence);Die Zahl der Krankheitsfälle in einer Bevölkerung zu einem bestimmten Zeitpunkt, bezogen auf die Bevölkerung zu diesem Zeitpunkt (Punktprävalenz). Periodenprävalenz: Anzahl erkrankte Personen während einer bestimmten Zeiteinheit, z.B. innerhalb eines Monates.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Die Zahl der Krankheitsfälle in einer Bevölkerung zu einem bestimmten Zeitpunkt, bezogen auf die Bevölkerung zu diesem Zeitpunkt (Punktprävalenz). Periodenprävalenz: Anzahl erkrankte Personen während einer bestimmten Zeiteinheit, z.B. innerhalb eines Monates.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=322
Prävention ;(prevention);Verhütung von Krankheit, häufig gleichbedeutend mit primärer Prävention verwendet. Allgemein ist aber eine Unterteilung in primäre, sekundäre und tertiäre Prävention gebräuchlich.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Verhütung von Krankheit, häufig gleichbedeutend mit primärer Prävention verwendet. Allgemein ist aber eine Unterteilung in primäre, sekundäre und tertiäre Prävention gebräuchlich.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=323
Präventionsstudie;(prevention study);Eine Studie, in der die Vorbeugung einer Krankheit oder eines Rezidivs durch Medikamente, Diäten oder Lebensstiländerungen untersucht wird. Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.;"Eine Studie, in der die Vorbeugung einer Krankheit oder eines Rezidivs durch Medikamente, Diäten oder Lebensstiländerungen untersucht wird. Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.
Quelle: Clinical Trials Glossary der German Language Division of the American Translator’s Association. Online verfügbar unter http://www.ata-divisions.org/GLD/docs/48_konferenz/Glossary_clinical_trials_EN-GE.pdf, zuletzt geprüft am 18 Apr 2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=324
